,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
332,19.99,7,46,23.4,1.0,0.0,43.550000000000004,1.0,0.0,0.0,1.0,1.0,0.0,1.0
333,10.49,1,19,4.68,1.0,0.0,10.57,1.0,0.0,0.0,0.0,0.0,1.0,1.0
334,12.99,1,18,2.55,1.0,0.0,1.08,1.0,0.0,0.0,1.0,0.0,0.0,1.0
337,4.99,5,58,16.77,1.0,0.0,43.33,1.0,0.0,0.0,0.0,1.0,0.0,1.0
338,19.99,1,27,2.68,1.0,1.0,8.15,0.0,0.0,1.0,1.0,0.0,0.0,1.0
340,24.99,1,96,41.68,1.0,0.0,12.39,1.0,1.0,0.0,1.0,0.0,0.0,1.0
341,13.99,0,47,34.13,1.0,1.0,28.099999999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0
344,10.99,2,34,2.62,1.0,1.0,3.08,0.0,1.0,1.0,1.0,0.0,0.0,1.0
345,11.99,0,6,3.77,0.0,0.0,3.2100000000000004,0.0,1.0,0.0,1.0,0.0,0.0,1.0
346,19.99,0,0,15.1,1.0,1.0,17.57,0.0,1.0,1.0,0.0,0.0,0.0,1.0
348,9.99,2,20,9.37,0.0,1.0,27.200000000000003,1.0,1.0,0.0,0.0,1.0,0.0,1.0
349,19.99,0,50,11.68,1.0,1.0,32.04,0.0,0.0,1.0,1.0,0.0,0.0,1.0
352,17.99,1,50,2.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
353,5.99,11,141,36.2,1.0,0.0,29.89999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0
354,19.99,0,59,23.65,1.0,1.0,24.770000000000003,0.0,1.0,1.0,0.0,0.0,0.0,1.0
356,19.99,1,30,4.17,1.0,0.0,5.960000000000001,1.0,0.0,1.0,0.0,0.0,0.0,1.0
358,14.99,1,78,13.08,1.0,1.0,42.92,1.0,0.0,0.0,1.0,1.0,1.0,1.0
359,2.99,4,64,7.73,1.0,1.0,18.74,0.0,0.0,1.0,1.0,0.0,0.0,1.0
361,0.0,0,0,8.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
363,24.99,1,49,22.85,1.0,1.0,35.08,0.0,1.0,1.0,1.0,0.0,0.0,0.0
365,8.99,0,44,4.15,1.0,0.0,38.68,1.0,0.0,0.0,0.0,1.0,1.0,1.0
366,24.99,12,22,14.9,1.0,0.0,13.97,1.0,0.0,1.0,1.0,1.0,0.0,1.0
368,0.0,0,198,6.33,1.0,1.0,31.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0
369,14.99,3,29,2.27,1.0,1.0,14.16,1.0,0.0,1.0,0.0,0.0,1.0,1.0
